AcademicYear,Institution,Student Type,DemographicGroup,DemographicValue,DemographicSubgroup,DemographicSubgroupValue,AvgTTD,MedTTD,Number of Degrees
2007-08,Central Washington University,All Transfers,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,Sex,Male,2.34,2.25,320
2007-08,Central Washington University,All Transfers,Pell or Washington College Grant Status,Received Pell or WA College Grant,None,All,2.25,2,494
2007-08,Central Washington University,All Transfers,Pell or Washington College Grant Status,Received Pell or WA College Grant,Race/Ethnicity,White,2.3,2.17,349
2007-08,Central Washington University,All Transfers,Pell or Washington College Grant Status,Received Pell or WA College Grant,Sex,Female,2.18,1.92,283
2007-08,Central Washington University,All Transfers,Pell or Washington College Grant Status,Received Pell or WA College Grant,Sex,Male,2.35,2.25,211
2007-08,Central Washington University,All Transfers,Pre-College Course Taking,Did not take Pre-College Course,None,All,2.23,2,1247
2007-08,Central Washington University,All Transfers,Pre-College Course Taking,Did not take Pre-College Course,Race/Ethnicity,Hispanic,2.17,1.92,90
2007-08,Central Washington University,All Transfers,Pre-College Course Taking,Did not take Pre-College Course,Race/Ethnicity,Multi Racial,2.14,1.92,44
2007-08,Central Washington University,All Transfers,Pre-College Course Taking,Did not take Pre-College Course,Race/Ethnicity,White,2.28,2.17,901
2007-08,Central Washington University,All Transfers,Pre-College Course Taking,Did not take Pre-College Course,Sex,Female,2.15,1.92,719
2007-08,Central Washington University,All Transfers,Pre-College Course Taking,Did not take Pre-College Course,Sex,Male,2.34,2.25,528
2007-08,Central Washington University,All Transfers,Pre-College Course Taking,Did not take Pre-College Course,Washington College Grant Status,Did Not Receive WA College Grant,2.24,2,787
2007-08,Central Washington University,All Transfers,Pre-College Course Taking,Did not take Pre-College Course,Washington College Grant Status,Received WA College Grant,2.22,1.92,460
2007-08,Central Washington University,All Transfers,Pre-College Course Taking,Took Pre-College Course,None,All,3.25,3.25,11
2007-08,Central Washington University,All Transfers,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,None,All,2.09,1.92,102
2007-08,Central Washington University,All Transfers,Race/Ethnicity,Hispanic,None,All,2.17,1.92,91
2007-08,Central Washington University,All Transfers,Race/Ethnicity,Hispanic,Sex,Female,2.15,1.92,64
2007-08,Central Washington University,All Transfers,Race/Ethnicity,Multi Racial,None,All,2.14,1.92,44
2007-08,Central Washington University,All Transfers,Race/Ethnicity,White,None,All,2.29,2.25,910
2007-08,Central Washington University,All Transfers,Race/Ethnicity,White,Sex,Female,2.19,1.92,535
2007-08,Central Washington University,All Transfers,Race/Ethnicity,White,Sex,Male,2.43,2.42,375
2007-08,Central Washington University,All Transfers,Race/Ethnicity,White,Washington College Grant Status,Did Not Receive WA College Grant,2.29,2.25,583
2007-08,Central Washington University,All Transfers,Race/Ethnicity,White,Washington College Grant Status,Received WA College Grant,2.28,2.17,327
2007-08,Central Washington University,All Transfers,Residency,WA Residents,None,All,2.25,2,1202
2007-08,Central Washington University,All Transfers,Residency,WA Residents,Race/Ethnicity,Hispanic,2.2,1.92,89
2007-08,Central Washington University,All Transfers,Residency,WA Residents,Race/Ethnicity,Multi Racial,2.14,1.92,44
2007-08,Central Washington University,All Transfers,Residency,WA Residents,Race/Ethnicity,White,2.29,2.17,897
2007-08,Central Washington University,All Transfers,Residency,WA Residents,Sex,Female,2.17,1.92,700
2007-08,Central Washington University,All Transfers,Residency,WA Residents,Sex,Male,2.36,2.42,502
2007-08,Central Washington University,All Transfers,Sex,Female,None,All,2.16,1.92,727
2007-08,Central Washington University,All Transfers,Sex,Female,Race/Ethnicity,Hispanic,2.15,1.92,64
2007-08,Central Washington University,All Transfers,Sex,Female,Race/Ethnicity,White,2.19,1.92,535
2007-08,Central Washington University,All Transfers,Sex,Female,Washington College Grant Status,Did Not Receive WA College Grant,2.18,1.92,462
2007-08,Central Washington University,All Transfers,Sex,Female,Washington College Grant Status,Received WA College Grant,2.14,1.92,265
2007-08,Central Washington University,All Transfers,Sex,Male,None,All,2.34,2.25,531
2007-08,Central Washington University,All Transfers,Sex,Male,Race/Ethnicity,White,2.43,2.42,375
2007-08,Central Washington University,All Transfers,Sex,Male,Washington College Grant Status,Did Not Receive WA College Grant,2.35,2.42,333
2007-08,Central Washington University,All Transfers,Sex,Male,Washington College Grant Status,Received WA College Grant,2.34,2.25,198
2007-08,Central Washington University,All Transfers,STEM or High Demand Status,Not STEM or High Demand,None,All,2.21,1.92,1094
2007-08,Central Washington University,All Transfers,STEM or High Demand Status,Not STEM or High Demand,Race/Ethnicity,Hispanic,2.16,1.92,86
2007-08,Central Washington University,All Transfers,STEM or High Demand Status,Not STEM or High Demand,Race/Ethnicity,White,2.25,2,783
2007-08,Central Washington University,All Transfers,STEM or High Demand Status,Not STEM or High Demand,Sex,Female,2.14,1.92,655
2007-08,Central Washington University,All Transfers,STEM or High Demand Status,Not STEM or High Demand,Sex,Male,2.31,2.25,439
2007-08,Central Washington University,All Transfers,STEM or High Demand Status,Not STEM or High Demand,Washington College Grant Status,Did Not Receive WA College Grant,2.23,2,694
2007-08,Central Washington University,All Transfers,STEM or High Demand Status,Not STEM or High Demand,Washington College Grant Status,Received WA College Grant,2.17,1.92,400
2007-08,Central Washington University,All Transfers,STEM or High Demand Status,STEM or High Demand,None,All,2.47,2.5,164
2007-08,Central Washington University,All Transfers,STEM or High Demand Status,STEM or High Demand,Race/Ethnicity,White,2.54,2.58,127
2007-08,Central Washington University,All Transfers,STEM or High Demand Status,STEM or High Demand,Sex,Female,2.43,2.42,72
2007-08,Central Washington University,All Transfers,STEM or High Demand Status,STEM or High Demand,Sex,Male,2.5,2.5,92
2007-08,Central Washington University,All Transfers,STEM or High Demand Status,STEM or High Demand,Washington College Grant Status,Did Not Receive WA College Grant,2.39,2.42,101
2007-08,Central Washington University,All Transfers,STEM or High Demand Status,STEM or High Demand,Washington College Grant Status,Received WA College Grant,2.61,2.58,63
2007-08,Central Washington University,All Transfers,Veteran Status,Non-Veteran/Unknown,None,All,2.25,2,1216
2018-19,University of Washington,Direct from High School,FT/PT Status,Full-Time,Race/Ethnicity,Multi Racial,3.73,3.75,429
2007-08,Central Washington University,All Transfers,Veteran Status,Non-Veteran/Unknown,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,2.09,1.92,102
2007-08,Central Washington University,All Transfers,Veteran Status,Non-Veteran/Unknown,Race/Ethnicity,Hispanic,2.19,1.92,84
2007-08,Central Washington University,All Transfers,Veteran Status,Non-Veteran/Unknown,Race/Ethnicity,Multi Racial,2.15,1.92,43
2007-08,Central Washington University,All Transfers,Veteran Status,Non-Veteran/Unknown,Race/Ethnicity,White,2.3,2.25,883
2007-08,Central Washington University,All Transfers,Veteran Status,Non-Veteran/Unknown,Sex,Female,2.17,1.92,721
2007-08,Central Washington University,All Transfers,Veteran Status,Non-Veteran/Unknown,Sex,Male,2.36,2.42,495
2007-08,Central Washington University,All Transfers,Veteran Status,Non-Veteran/Unknown,Washington College Grant Status,Did Not Receive WA College Grant,2.26,2.17,768
2007-08,Central Washington University,All Transfers,Veteran Status,Non-Veteran/Unknown,Washington College Grant Status,Received WA College Grant,2.23,1.92,448
2007-08,Central Washington University,All Transfers,Washington College Grant Status,Did Not Receive WA College Grant,None,All,2.25,2.17,795
2007-08,Central Washington University,All Transfers,Washington College Grant Status,Did Not Receive WA College Grant,Race/Ethnicity,White,2.29,2.25,583
2007-08,Central Washington University,All Transfers,Washington College Grant Status,Did Not Receive WA College Grant,Sex,Female,2.18,1.92,462
2007-08,Central Washington University,All Transfers,Washington College Grant Status,Did Not Receive WA College Grant,Sex,Male,2.35,2.42,333
2007-08,Central Washington University,All Transfers,Washington College Grant Status,Received WA College Grant,None,All,2.23,1.92,463
2007-08,Central Washington University,All Transfers,Washington College Grant Status,Received WA College Grant,Race/Ethnicity,White,2.28,2.17,327
2007-08,Central Washington University,All Transfers,Washington College Grant Status,Received WA College Grant,Sex,Female,2.14,1.92,265
2007-08,Central Washington University,All Transfers,Washington College Grant Status,Received WA College Grant,Sex,Male,2.34,2.25,198
2007-08,Central Washington University,Direct from High School,Age,<= 24 years old,None,All,3.58,3.75,380
2007-08,Central Washington University,Direct from High School,Age,<= 24 years old,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,3.34,3.75,11
2007-08,Central Washington University,Direct from High School,Age,<= 24 years old,Race/Ethnicity,Hispanic,3.7,3.75,18
2007-08,Central Washington University,Direct from High School,Age,<= 24 years old,Race/Ethnicity,Multi Racial,3.66,3.75,11
2007-08,Central Washington University,Direct from High School,Age,<= 24 years old,Race/Ethnicity,White,3.56,3.75,323
2007-08,Central Washington University,Direct from High School,Age,<= 24 years old,Sex,Female,3.58,3.75,247
2007-08,Central Washington University,Direct from High School,Age,<= 24 years old,Sex,Male,3.57,3.75,133
2007-08,Central Washington University,Direct from High School,Age,<= 24 years old,Washington College Grant Status,Did Not Receive WA College Grant,3.55,3.75,290
2007-08,Central Washington University,Direct from High School,Age,<= 24 years old,Washington College Grant Status,Received WA College Grant,3.64,3.75,90
2007-08,Central Washington University,Direct from High School,FT/PT Status,Full-Time,None,All,3.58,3.75,380
2007-08,Central Washington University,Direct from High School,FT/PT Status,Full-Time,Race/Ethnicity,Hispanic,3.7,3.75,18
2007-08,Central Washington University,Direct from High School,FT/PT Status,Full-Time,Race/Ethnicity,Multi Racial,3.66,3.75,11
2007-08,Central Washington University,Direct from High School,FT/PT Status,Full-Time,Race/Ethnicity,White,3.56,3.75,324
2007-08,Central Washington University,Direct from High School,FT/PT Status,Full-Time,Sex,Female,3.58,3.75,248
2007-08,Central Washington University,Direct from High School,FT/PT Status,Full-Time,Sex,Male,3.57,3.75,132
2007-08,Central Washington University,Direct from High School,FT/PT Status,Full-Time,Washington College Grant Status,Did Not Receive WA College Grant,3.56,3.75,288
2007-08,Central Washington University,Direct from High School,FT/PT Status,Full-Time,Washington College Grant Status,Received WA College Grant,3.64,3.75,92
2007-08,Central Washington University,Direct from High School,None (All Students),All,None,All,3.57,3.75,383
2007-08,Central Washington University,Direct from High School,Pell Grant Status,Did Not Receive Pell Grant,None,All,3.55,3.75,300
2007-08,Central Washington University,Direct from High School,Pell Grant Status,Did Not Receive Pell Grant,Race/Ethnicity,Hispanic,3.75,3.75,11
2007-08,Central Washington University,Direct from High School,Pell Grant Status,Did Not Receive Pell Grant,Race/Ethnicity,White,3.53,3.75,263
2007-08,Central Washington University,Direct from High School,Pell Grant Status,Did Not Receive Pell Grant,Sex,Female,3.57,3.75,193
2007-08,Central Washington University,Direct from High School,Pell Grant Status,Did Not Receive Pell Grant,Sex,Male,3.52,3.75,107
2007-08,Central Washington University,Direct from High School,Pell Grant Status,Received Pell Grant,None,All,3.64,3.75,83
2007-08,Central Washington University,Direct from High School,Pell Grant Status,Received Pell Grant,Race/Ethnicity,White,3.64,3.75,63
2007-08,Central Washington University,Direct from High School,Pell Grant Status,Received Pell Grant,Sex,Female,3.61,3.75,56
2007-08,Central Washington University,Direct from High School,Pell Grant Status,Received Pell Grant,Sex,Male,3.7,3.75,27
2007-08,Central Washington University,Direct from High School,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,None,All,3.54,3.75,288
2007-08,Central Washington University,Direct from High School,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,Race/Ethnicity,White,3.53,3.75,253
2007-08,Central Washington University,Direct from High School,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,Sex,Female,3.57,3.75,187
2007-08,Central Washington University,Direct from High School,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,Sex,Male,3.5,3.75,101
2007-08,Central Washington University,Direct from High School,Pell or Washington College Grant Status,Received Pell or WA College Grant,None,All,3.65,3.75,95
2007-08,Central Washington University,Direct from High School,Pell or Washington College Grant Status,Received Pell or WA College Grant,Race/Ethnicity,White,3.64,3.75,73
2007-08,Central Washington University,Direct from High School,Pell or Washington College Grant Status,Received Pell or WA College Grant,Sex,Female,3.61,3.75,62
2007-08,Central Washington University,Direct from High School,Pell or Washington College Grant Status,Received Pell or WA College Grant,Sex,Male,3.71,3.75,33
2007-08,Central Washington University,Direct from High School,Pre-College Course Taking,Did not take Pre-College Course,None,All,3.57,3.75,365
2007-08,Central Washington University,Direct from High School,Pre-College Course Taking,Did not take Pre-College Course,Race/Ethnicity,Hispanic,3.69,3.75,17
2007-08,Central Washington University,Direct from High School,Pre-College Course Taking,Did not take Pre-College Course,Race/Ethnicity,Multi Racial,3.66,3.75,11
2007-08,Central Washington University,Direct from High School,Pre-College Course Taking,Did not take Pre-College Course,Race/Ethnicity,White,3.55,3.75,313
2007-08,Central Washington University,Direct from High School,Pre-College Course Taking,Did not take Pre-College Course,Sex,Female,3.58,3.75,239
2007-08,Central Washington University,Direct from High School,Pre-College Course Taking,Did not take Pre-College Course,Sex,Male,3.55,3.75,126
2007-08,Central Washington University,Direct from High School,Pre-College Course Taking,Did not take Pre-College Course,Washington College Grant Status,Did Not Receive WA College Grant,3.55,3.75,281
2007-08,Central Washington University,Direct from High School,Pre-College Course Taking,Did not take Pre-College Course,Washington College Grant Status,Received WA College Grant,3.62,3.75,84
2007-08,Central Washington University,Direct from High School,Pre-College Course Taking,Took Pre-College Course,None,All,3.64,3.75,18
2007-08,Central Washington University,Direct from High School,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,None,All,3.34,3.75,11
2007-08,Central Washington University,Direct from High School,Race/Ethnicity,Hispanic,None,All,3.7,3.75,18
2007-08,Central Washington University,Direct from High School,Race/Ethnicity,Hispanic,Sex,Female,3.64,3.75,11
2007-08,Central Washington University,Direct from High School,Race/Ethnicity,Multi Racial,None,All,3.66,3.75,11
2007-08,Central Washington University,Direct from High School,Race/Ethnicity,White,None,All,3.55,3.75,326
2007-08,Central Washington University,Direct from High School,Race/Ethnicity,White,Sex,Female,3.57,3.75,214
2007-08,Central Washington University,Direct from High School,Race/Ethnicity,White,Sex,Male,3.53,3.75,112
2007-08,Central Washington University,Direct from High School,Race/Ethnicity,White,Washington College Grant Status,Did Not Receive WA College Grant,3.53,3.75,256
2007-08,Central Washington University,Direct from High School,Race/Ethnicity,White,Washington College Grant Status,Received WA College Grant,3.64,3.75,70
2007-08,Central Washington University,Direct from High School,Residency,WA Residents,None,All,3.57,3.75,373
2007-08,Central Washington University,Direct from High School,Residency,WA Residents,Race/Ethnicity,Hispanic,3.7,3.75,18
2007-08,Central Washington University,Direct from High School,Residency,WA Residents,Race/Ethnicity,Multi Racial,3.66,3.75,11
2007-08,Central Washington University,Direct from High School,Residency,WA Residents,Race/Ethnicity,White,3.55,3.75,321
2007-08,Central Washington University,Direct from High School,Residency,WA Residents,Sex,Female,3.58,3.75,241
2007-08,Central Washington University,Direct from High School,Residency,WA Residents,Sex,Male,3.56,3.75,132
2007-08,Central Washington University,Direct from High School,Sex,Female,None,All,3.58,3.75,249
2007-08,Central Washington University,Direct from High School,Sex,Female,Race/Ethnicity,Hispanic,3.64,3.75,11
2007-08,Central Washington University,Direct from High School,Sex,Female,Race/Ethnicity,White,3.57,3.75,214
2007-08,Central Washington University,Direct from High School,Sex,Female,Washington College Grant Status,Did Not Receive WA College Grant,3.57,3.75,190
2007-08,Central Washington University,Direct from High School,Sex,Female,Washington College Grant Status,Received WA College Grant,3.6,3.75,59
2007-08,Central Washington University,Direct from High School,Sex,Male,None,All,3.56,3.75,134
2007-08,Central Washington University,Direct from High School,Sex,Male,Race/Ethnicity,White,3.53,3.75,112
2007-08,Central Washington University,Direct from High School,Sex,Male,Washington College Grant Status,Did Not Receive WA College Grant,3.5,3.75,101
2007-08,Central Washington University,Direct from High School,Sex,Male,Washington College Grant Status,Received WA College Grant,3.71,3.75,33
2007-08,Central Washington University,Direct from High School,STEM or High Demand Status,Not STEM or High Demand,None,All,3.56,3.75,317
2007-08,Central Washington University,Direct from High School,STEM or High Demand Status,Not STEM or High Demand,Race/Ethnicity,Hispanic,3.7,3.75,17
2007-08,Central Washington University,Direct from High School,STEM or High Demand Status,Not STEM or High Demand,Race/Ethnicity,White,3.54,3.75,270
2007-08,Central Washington University,Direct from High School,STEM or High Demand Status,Not STEM or High Demand,Sex,Female,3.58,3.75,217
2007-08,Central Washington University,Direct from High School,STEM or High Demand Status,Not STEM or High Demand,Sex,Male,3.51,3.75,100
2007-08,Central Washington University,Direct from High School,STEM or High Demand Status,Not STEM or High Demand,Washington College Grant Status,Did Not Receive WA College Grant,3.54,3.75,244
2007-08,Central Washington University,Direct from High School,STEM or High Demand Status,Not STEM or High Demand,Washington College Grant Status,Received WA College Grant,3.6,3.75,73
2007-08,Central Washington University,Direct from High School,STEM or High Demand Status,STEM or High Demand,None,All,3.63,3.75,66
2007-08,Central Washington University,Direct from High School,STEM or High Demand Status,STEM or High Demand,Race/Ethnicity,White,3.63,3.75,56
2007-08,Central Washington University,Direct from High School,STEM or High Demand Status,STEM or High Demand,Sex,Female,3.55,3.75,32
2007-08,Central Washington University,Direct from High School,STEM or High Demand Status,STEM or High Demand,Sex,Male,3.7,3.75,34
2007-08,Central Washington University,Direct from High School,STEM or High Demand Status,STEM or High Demand,Washington College Grant Status,Did Not Receive WA College Grant,3.56,3.75,47
2007-08,Central Washington University,Direct from High School,STEM or High Demand Status,STEM or High Demand,Washington College Grant Status,Received WA College Grant,3.8,3.75,19
2007-08,Central Washington University,Direct from High School,Veteran Status,Non-Veteran/Unknown,None,All,3.57,3.75,380
2007-08,Central Washington University,Direct from High School,Veteran Status,Non-Veteran/Unknown,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,3.34,3.75,11
2007-08,Central Washington University,Direct from High School,Veteran Status,Non-Veteran/Unknown,Race/Ethnicity,Hispanic,3.7,3.75,18
2007-08,Central Washington University,Direct from High School,Veteran Status,Non-Veteran/Unknown,Race/Ethnicity,Multi Racial,3.66,3.75,11
2007-08,Central Washington University,Direct from High School,Veteran Status,Non-Veteran/Unknown,Race/Ethnicity,White,3.55,3.75,323
2007-08,Central Washington University,Direct from High School,Veteran Status,Non-Veteran/Unknown,Sex,Female,3.58,3.75,249
2007-08,Central Washington University,Direct from High School,Veteran Status,Non-Veteran/Unknown,Sex,Male,3.55,3.75,131
2007-08,Central Washington University,Direct from High School,Veteran Status,Non-Veteran/Unknown,Washington College Grant Status,Did Not Receive WA College Grant,3.55,3.75,289
2007-08,Central Washington University,Direct from High School,Veteran Status,Non-Veteran/Unknown,Washington College Grant Status,Received WA College Grant,3.64,3.75,91
2007-08,Central Washington University,Direct from High School,Washington College Grant Status,Did Not Receive WA College Grant,None,All,3.55,3.75,291
2007-08,Central Washington University,Direct from High School,Washington College Grant Status,Did Not Receive WA College Grant,Race/Ethnicity,White,3.53,3.75,256
2007-08,Central Washington University,Direct from High School,Washington College Grant Status,Did Not Receive WA College Grant,Sex,Female,3.57,3.75,190
2007-08,Central Washington University,Direct from High School,Washington College Grant Status,Did Not Receive WA College Grant,Sex,Male,3.5,3.75,101
2007-08,Central Washington University,Direct from High School,Washington College Grant Status,Received WA College Grant,None,All,3.64,3.75,92
2007-08,Central Washington University,Direct from High School,Washington College Grant Status,Received WA College Grant,Race/Ethnicity,White,3.64,3.75,70
2007-08,Central Washington University,Direct from High School,Washington College Grant Status,Received WA College Grant,Sex,Female,3.6,3.75,59
2007-08,Central Washington University,Direct from High School,Washington College Grant Status,Received WA College Grant,Sex,Male,3.71,3.75,33
2007-08,Eastern Washington University,All Transfers,Age,<= 24 years old,None,All,2.5,2.42,374
2007-08,Eastern Washington University,All Transfers,Age,<= 24 years old,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,2.29,2.42,15
2007-08,Eastern Washington University,All Transfers,Age,<= 24 years old,Race/Ethnicity,Hispanic,2.43,2.58,27
2007-08,Eastern Washington University,All Transfers,Age,<= 24 years old,Race/Ethnicity,Unknown,2.3,2.25,71
2007-08,Eastern Washington University,All Transfers,Age,<= 24 years old,Race/Ethnicity,White,2.55,2.5,247
2007-08,Eastern Washington University,All Transfers,Age,<= 24 years old,Sex,Female,2.45,2.25,215
2007-08,Eastern Washington University,All Transfers,Age,<= 24 years old,Sex,Male,2.56,2.5,159
2007-08,Eastern Washington University,All Transfers,Age,<= 24 years old,Washington College Grant Status,Did Not Receive WA College Grant,2.51,2.5,286
2007-08,Eastern Washington University,All Transfers,Age,<= 24 years old,Washington College Grant Status,Received WA College Grant,2.46,2.42,88
2007-08,Eastern Washington University,All Transfers,FT/PT Status,Full-Time,None,All,2.61,2.58,629
2007-08,Eastern Washington University,All Transfers,FT/PT Status,Full-Time,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,2.51,2.5,25
2007-08,Eastern Washington University,All Transfers,FT/PT Status,Full-Time,Race/Ethnicity,Hispanic,2.7,2.75,47
2007-08,Eastern Washington University,All Transfers,FT/PT Status,Full-Time,Race/Ethnicity,Unknown,2.37,2.25,112
2007-08,Eastern Washington University,All Transfers,FT/PT Status,Full-Time,Race/Ethnicity,White,2.66,2.75,418
2007-08,Eastern Washington University,All Transfers,FT/PT Status,Full-Time,Sex,Female,2.53,2.5,338
2007-08,Eastern Washington University,All Transfers,FT/PT Status,Full-Time,Sex,Male,2.7,2.75,291
2007-08,Eastern Washington University,All Transfers,FT/PT Status,Full-Time,Washington College Grant Status,Did Not Receive WA College Grant,2.67,2.58,406
2007-08,Eastern Washington University,All Transfers,FT/PT Status,Full-Time,Washington College Grant Status,Received WA College Grant,2.5,2.5,223
2007-08,Eastern Washington University,All Transfers,None (All Students),All,None,All,2.59,2.5,714
2007-08,Eastern Washington University,All Transfers,Pell Grant Status,Did Not Receive Pell Grant,None,All,2.54,2.42,428
2007-08,Eastern Washington University,All Transfers,Pell Grant Status,Did Not Receive Pell Grant,Race/Ethnicity,Hispanic,2.59,2.5,24
2007-08,Eastern Washington University,All Transfers,Pell Grant Status,Did Not Receive Pell Grant,Race/Ethnicity,Unknown,2.33,2.17,90
2007-08,Eastern Washington University,All Transfers,Pell Grant Status,Did Not Receive Pell Grant,Race/Ethnicity,White,2.59,2.5,282
2007-08,Eastern Washington University,All Transfers,Pell Grant Status,Did Not Receive Pell Grant,Sex,Female,2.44,2.42,230
2007-08,Eastern Washington University,All Transfers,Pell Grant Status,Did Not Receive Pell Grant,Sex,Male,2.64,2.5,198
2007-08,Eastern Washington University,All Transfers,Pell Grant Status,Received Pell Grant,None,All,2.66,2.75,286
2007-08,Eastern Washington University,All Transfers,Pell Grant Status,Received Pell Grant,Race/Ethnicity,Hispanic,2.68,2.75,27
2007-08,Eastern Washington University,All Transfers,Pell Grant Status,Received Pell Grant,Race/Ethnicity,White,2.71,2.75,191
2007-08,Eastern Washington University,All Transfers,Pell Grant Status,Received Pell Grant,Sex,Female,2.59,2.75,164
2007-08,Eastern Washington University,All Transfers,Pell Grant Status,Received Pell Grant,Sex,Male,2.75,2.75,122
2007-08,Eastern Washington University,All Transfers,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,None,All,2.55,2.42,396
2007-08,Eastern Washington University,All Transfers,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,Race/Ethnicity,Hispanic,2.61,2.5,23
2007-08,Eastern Washington University,All Transfers,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,Race/Ethnicity,Unknown,2.34,2.17,82
2007-08,Eastern Washington University,All Transfers,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,Race/Ethnicity,White,2.6,2.5,261
2007-08,Eastern Washington University,All Transfers,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,Sex,Female,2.45,2.42,210
2007-08,Eastern Washington University,All Transfers,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,Sex,Male,2.65,2.5,186
2007-08,Eastern Washington University,All Transfers,Pell or Washington College Grant Status,Received Pell or WA College Grant,None,All,2.64,2.75,318
2007-08,Eastern Washington University,All Transfers,Pell or Washington College Grant Status,Received Pell or WA College Grant,Race/Ethnicity,Hispanic,2.67,2.75,28
2007-08,Eastern Washington University,All Transfers,Pell or Washington College Grant Status,Received Pell or WA College Grant,Race/Ethnicity,White,2.68,2.75,212
2007-08,Eastern Washington University,All Transfers,Pell or Washington College Grant Status,Received Pell or WA College Grant,Sex,Female,2.56,2.5,184
